# Nmap 7.95 scan initiated Mon Oct  6 19:59:35 2025 as: nmap -p- -n -Pn --min-rate 2000 -T4 -oN /workspace/nmap_full.txt 94.237.121.49
Nmap scan report for 94.237.121.49
Host is up (0.13s latency).
Not shown: 63128 closed tcp ports (reset), 1520 filtered tcp ports (no-response), 320 filtered tcp ports (port-unreach)
PORT      STATE SERVICE
53777/tcp open  unknown
53795/tcp open  unknown
53857/tcp open  unknown
53943/tcp open  unknown
53949/tcp open  unknown
53971/tcp open  unknown
54004/tcp open  unknown
54071/tcp open  unknown
54091/tcp open  unknown
54142/tcp open  unknown
54272/tcp open  unknown
54340/tcp open  unknown
54346/tcp open  unknown
54364/tcp open  unknown
54380/tcp open  unknown
54385/tcp open  unknown
54386/tcp open  unknown
54388/tcp open  unknown
54407/tcp open  unknown
54411/tcp open  unknown
54439/tcp open  unknown
54466/tcp open  unknown
54515/tcp open  unknown
54545/tcp open  unknown
54563/tcp open  unknown
54648/tcp open  unknown
54651/tcp open  unknown
54678/tcp open  unknown
54814/tcp open  unknown
54848/tcp open  unknown
54858/tcp open  unknown
54881/tcp open  unknown
54963/tcp open  unknown
55005/tcp open  unknown
55008/tcp open  unknown
55038/tcp open  unknown
55039/tcp open  unknown
55053/tcp open  unknown
55062/tcp open  unknown
55118/tcp open  unknown
55134/tcp open  unknown
55135/tcp open  unknown
55136/tcp open  unknown
55158/tcp open  unknown
55159/tcp open  unknown
55197/tcp open  unknown
55200/tcp open  unknown
55335/tcp open  unknown
55362/tcp open  unknown
55395/tcp open  unknown
55524/tcp open  unknown
55754/tcp open  unknown
55897/tcp open  unknown
55902/tcp open  unknown
55908/tcp open  unknown
55919/tcp open  unknown
55936/tcp open  unknown
56104/tcp open  unknown
56122/tcp open  unknown
56204/tcp open  unknown
56320/tcp open  unknown
56452/tcp open  unknown
56501/tcp open  unknown
56590/tcp open  unknown
56817/tcp open  unknown
56856/tcp open  unknown
56924/tcp open  unknown
56945/tcp open  unknown
56947/tcp open  unknown
57003/tcp open  unknown
57089/tcp open  unknown
57105/tcp open  unknown
57157/tcp open  unknown
57211/tcp open  unknown
57386/tcp open  unknown
57434/tcp open  unknown
57474/tcp open  unknown
57497/tcp open  unknown
57503/tcp open  unknown
57523/tcp open  unknown
57610/tcp open  unknown
57693/tcp open  unknown
57875/tcp open  unknown
57891/tcp open  unknown
57892/tcp open  unknown
57893/tcp open  unknown
57974/tcp open  unknown
57979/tcp open  unknown
57980/tcp open  unknown
57990/tcp open  unknown
58016/tcp open  unknown
58067/tcp open  unknown
58092/tcp open  unknown
58188/tcp open  unknown
58366/tcp open  unknown
58433/tcp open  unknown
58483/tcp open  unknown
58501/tcp open  unknown
58529/tcp open  unknown
58531/tcp open  unknown
58567/tcp open  unknown
58622/tcp open  unknown
58685/tcp open  unknown
58778/tcp open  unknown
58867/tcp open  unknown
58893/tcp open  unknown
59182/tcp open  unknown
59204/tcp open  unknown
59302/tcp open  unknown
59382/tcp open  unknown
59512/tcp open  unknown
59551/tcp open  unknown
59655/tcp open  unknown
59739/tcp open  unknown
59767/tcp open  unknown
59799/tcp open  unknown
59814/tcp open  unknown
59991/tcp open  unknown

# Nmap done at Mon Oct  6 20:00:10 2025 -- 1 IP address (1 host up) scanned in 35.11 seconds
